Sample;d17O;d18O;Reference
Tahoe4;-2,491;-4,697;Aron2021
Tahoe25-EB;-3,65;-6,925;Aron2021
Tahoe3-E;-2,608;-4,945;Aron2021
PL1;0,117;0,306;Aron2021
Tahoe36-TrukeeOut;-5,619;-10,657;Aron2021
Tahoe50-UTrukee;-6,452;-12,224;Aron2021
TahoeRiver40;-6,627;-12,591;Aron2021
TahoeRiver39;-6,863;-13,058;Aron2021
IPL-18W-290;-10,742;-20,314;Aron2021
IPL-18W-421;1,027;1,965;Aron2021
IPL-18W-322;-0,78;-1,513;Aron2021
IPL-18W-321;-1,454;-2,8;Aron2021
IPL-18W-110;-1,924;-3,67;Aron2021
 IPL-18W-422;4,966;9,474;Aron2021
IPL-18W-251;-9,36;-17,73;Aron2021
IPL-18W-51;-10,284;-19,448;Aron2021
R158_Peru;-5,178;-9,884;Aron2021
R159_Peru;-4,055;-7,759;Aron2021
R92_Peru;-6,278;-11,907;Aron2021
R206_Peru;-6,82;-12,926;Aron2021
R228_Peru;-10,321;-19,525;Aron2021
R229_Peru;-10,294;-19,458;Aron2021
IPL-18W-292;-10,473;-19,788;Aron2021
IPL-18W-197;-9,504;-17,969;Aron2021
IPL-18W-196;-9,165;-17,345;Aron2021
IPL-18W-228;-8,154;-15,415;Aron2021
IPL-18W-389;-1,302;-2,491;Aron2021
IPL-18W-386;0;-0,025;Aron2021
IPL-18W-713;-0,273;-0,52;Aron2021
IPL-18W-371;-0,313;-0,569;Aron2021
IPL-18W-368;-4,526;-8,608;Aron2021
IPL-18W-362;-6,042;-11,457;Aron2021
IPL-18W-514;-7,006;-13,279;Aron2021
IPL-18W-534;-5,747;-10,919;Aron2021
IPL-18W-520;-4,506;-8,584;Aron2021
IPL-18W-516;-4,386;-8,349;Aron2021
IPL-19W-777;-4,139;-7,868;Aron2021
IPL-19W-776;-2,123;-4,043;Aron2021
IPL-18W-050;-8,704;-16,445;Aron2021
IPL-18W-049;-9,468;-17,894;Aron2021
IPL-18W-052;-10,194;-19,287;Aron2021
IPL-18W-770;-5,199;-9,89;Aron2021
IPL-18W-771;-5,024;-9,573;Aron2021
IPL-18W-716;-8,991;-17,024;Aron2021
IPL-19W-815;-8,699;-16,474;Aron2021
IPL-18W-248;-9,383;-17,776;Aron2021
IPL-18W-336;-7,655;-14,53;Aron2021
IPL-19W-816;-7,451;-14,136;Aron2021
IPL-18W-282;-4,2;-7,974;Aron2021
IPL-18W-174;-3,335;-6,376;Aron2021
IPL-18W-661;-3,203;-6,119;Aron2021
IPL-18W-688;-3,357;-6,396;Aron2021
IPL-18W-172;-3,281;-6,215;Aron2021
IPL-18W-681;-3,524;-6,728;Aron2021
IPL-18W-179;-3,689;-7,024;Aron2021
IPL-18W-752;-4,082;-7,784;Aron2021
IPL-18W-744;-4,094;-7,794;Aron2021
IPL-18W-305;-4,631;-8,812;Aron2021
IPL-18W-639;-4,506;-8,57;Aron2021
IPL-18W-705;-4,923;-9,364;Aron2021
IPL-18W-757;-5,266;-10,02;Aron2021
IPL-18W-067;-5,445;-10,331;Aron2021
IPL-18W-605;-5,558;-10,558;Aron2021
IPL-18W-015;-5,835;-11,065;Aron2021
IPL-18W-428;-5,812;-11,014;Aron2021
IPL-18W-189;-6,332;-12,031;Aron2021
IPL-18W-429;-6,351;-12,022;Aron2021
IPL-18W-249;-6,491;-12,311;Aron2021
IPL-18W-808;-6,602;-12,526;Aron2021
IPL-18W-495;-8,091;-15,323;Aron2021
IPL-18W-314;-8,209;-15,543;Aron2021
IPL-18W-258;-8,239;-15,608;Aron2021
IPL-18W-804;-8,411;-15,953;Aron2021
IPL-18W-226;-8,495;-16,08;Aron2021
IPL-18W-672;-8,772;-16,611;Aron2021
IPL-18W-257;-8,845;-16,743;Aron2021
R200;-8,464;-16,012;Aron2021
R193;-6,633;-12,564;Aron2021
IPL-18W-245;-6,467;-12,263;Aron2021
R197;-4,862;-9,18;Aron2021
IPL-18W-640;-4,268;-8,122;Aron2021
IPL-18W-312;-4,038;-7,653;Aron2021
IPL-19W-790;1,838;3,46;Aron2021
IPL-18W-513;-2,348;-4,481;Aron2021
R196;-1,984;-3,741;Aron2021
IPL-18W-152;-1,224;-2,363;Aron2021
IPL-18W-178;-0,232;-0,463;Aron2021
IPL-18W-018;-1,732;-3,305;Aron2021
IPL-18W-116;-1,081;-2,05;Aron2021
IPL-19W-1324;-7,632;-14,438;Aron2021
IPL-19W-1182;-5,622;-10,673;Aron2021
IPL-18W-369;-4,636;-8,795;Aron2021
IPL-18W-948;-3,804;-7,23;Aron2021
IPL-19W-1158;-2,372;-4,498;Aron2021
IPL-19W-1327;-2,215;-4,131;Aron2021
IPL-18W-670;-2,107;-4,042;Aron2021
IPL-18W-933;-1,9;-3,634;Aron2021
IPL-19W-871;-1,393;-2,651;Aron2021
IPL-19W-1263;-0,765;-1,465;Aron2021
IPL-18W-649;-0,15;-0,3;Aron2021
IPL-18W-375;0,214;0,428;Aron2021
IPL-19W-1326;1,71;3,327;Aron2021
IPL-18W-171;-2,557;-4,866;Aron2021
IPL-18W-166;-3,165;-6,023;Aron2021
1;-5,184;-9,829;LuzBarkan2010
2;-4,621;-8,817;LuzBarkan2010
3;-5,029;-9,57;LuzBarkan2010
4;-9,251;-17,544;LuzBarkan2010
5;-5,279;-10,117;LuzBarkan2010
6;-5,675;-10,849;LuzBarkan2010
7;-3,081;-5,925;LuzBarkan2010
8;-2,865;-5,397;LuzBarkan2010
9;-4,965;-9,415;LuzBarkan2010
10;-3,972;-7,561;LuzBarkan2010
11;-4,873;-9,239;LuzBarkan2010
12;-4,126;-7,843;LuzBarkan2010
13;-4,164;-7,911;LuzBarkan2010
14;-1,306;-2,513;LuzBarkan2010
15;-2,351;-4,486;LuzBarkan2010
16;-1,709;-3,272;LuzBarkan2010
17;2,177;4,158;LuzBarkan2010
18;-2,926;-5,626;LuzBarkan2010
19;-3,573;-6,857;LuzBarkan2010
20;-3,568;-6,847;LuzBarkan2010
21;-4,687;-8,969;LuzBarkan2010
22;-2,458;-4,717;LuzBarkan2010
23;-2,962;-5,699;LuzBarkan2010
24;-2,193;-4,206;LuzBarkan2010
25;-3,388;-6,51;LuzBarkan2010
26;-3,778;-7,243;LuzBarkan2010
27;-3,308;-6,323;LuzBarkan2010
28;-0,008;-0,06;LuzBarkan2010
29;-0,369;-0,739;LuzBarkan2010
30;-5,068;-9,665;LuzBarkan2010
31;-4,226;-8,094;LuzBarkan2010
32;-5,749;-10,936;LuzBarkan2010
33;-5,237;-9,951;LuzBarkan2010
34;-5,003;-9,529;LuzBarkan2010
35;-8,412;-15,913;LuzBarkan2010
36;-4,993;-9,511;LuzBarkan2010
37;-6,679;-12,655;LuzBarkan2010
38;-5,445;-10,337;LuzBarkan2010
39;-6,692;-12,681;LuzBarkan2010
40;-3,712;-7,078;LuzBarkan2010
41;-3,308;-6,342;LuzBarkan2010
42;-3,345;-6,416;LuzBarkan2010
43;-4,396;-8,369;LuzBarkan2010
44;-4,492;-8,553;LuzBarkan2010
45;-2,635;-5,016;LuzBarkan2010
46;-3,543;-6,728;LuzBarkan2010
47;-3,401;-6,476;LuzBarkan2010
48;-6,368;-12,091;LuzBarkan2010
49;-31,059;-58,009;LuzBarkan2010
50;-13,735;-25,927;LuzBarkan2010
51;-10,747;-20,329;LuzBarkan2010
52;-3,172;-6,04;LuzBarkan2010